,from,mid,last,I1,I2,predict,real
6662,727223,727235,727233,"what Matt Hancock did was horrible for all the people that had to live through the traumatic circumstances of small funerals and weddings, seeing their close relatives die without being able to say goodbye, that sort of thing",Matt Hancock couldn't stay,,Default Inference
6663,727233,727236,727214,Matt Hancock couldn't stay,"let's be clear, the right outcome happened, Hancock went, he had to go",,Default Rephrase
6664,727209,727253,727251,David Davis would have done the same thing as Boris Johson in those circumstances,Boris should not have done much different,,Default Inference
6665,727263,727266,727259,Boris Johnson's non-action was or was not yet another missed opportunity to set the standard for social distancing,Boris Johnson's nonaction against Matt Hancock was or was not yet another missed opportunity to show leadership,,Default Rephrase
6666,727270,727273,727263,David Davis doesn't think Boris Johnson missed yet another opportunity to assert leadership and set the standard for social distancing,Boris Johnson's non-action was or was not yet another missed opportunity to set the standard for social distancing,,Default Rephrase
6667,727270,727275,727259,David Davis doesn't think Boris Johnson missed yet another opportunity to assert leadership and set the standard for social distancing,Boris Johnson's nonaction against Matt Hancock was or was not yet another missed opportunity to show leadership,,Default Rephrase
6668,727316,727319,727311,you need a prime minister to lead the front particularly during a pandemic when extraordinary things are being asked of people,you need a prime minister to lead from the front at any time,,Default Rephrase
6669,727323,727326,727316,you need a prime minister to lead from the front when families are not seeing loved ones who are dying in hospital,you need a prime minister to lead the front particularly during a pandemic when extraordinary things are being asked of people,,Default Rephrase
6670,727330,727333,727323,when families cannot see loved ones who are dying in hospitals is exactly the moment that the Prime Minister needs to set the standards that the country has to live by,you need a prime minister to lead from the front when families are not seeing loved ones who are dying in hospital,,Default Rephrase
6671,727330,727340,727337,when families cannot see loved ones who are dying in hospitals is exactly the moment that the Prime Minister needs to set the standards that the country has to live by,"if the prime minister does not lead from the front, it all falls apart",,Default Inference
6672,727354,727357,727344,"the idea of one rule for them, one rule for everyone else is being reinforced by the way the last few days have played out",all falling apart is where we're getting to,,Default Inference
6673,727349,727357,727344,"this idea of one rule for them, one rule for everyone else, was introduced by the handling of the Dominic Cummings trip to Barnard Castle",all falling apart is where we're getting to,,Default Inference
6674,727365,727372,727362,Boris Johnson considered the matter closely,we know what Boris Johnson said,,Default Rephrase
6675,727386,727389,727381,they are pursuer of headlines,Boris Johnson knows some don't pursue the truth,,Default Rephrase
6676,727408,727411,727403,David Davis suspects that Boris Johnson was creating time for Matt Hancock to make his own decision was what was going on,what Boris Johnson was doing was creating time for Matt Hancock to make his own decision,,Default Rephrase
6677,727415,727418,727408,"David Davis doesn't know, but what he suspects was that Boris Johnson was creating time for Matt Hancock to make his own decision",David Davis suspects that Boris Johnson was creating time for Matt Hancock to make his own decision was what was going on,,Default Rephrase
6678,727376,727425,727381,Boris Johnson's an ex-journalist,Boris Johnson knows some don't pursue the truth,,Default Inference
6679,727433,727482,727429,you can breach the ministerial code,Andy Burnham gets the increasing impression it is impossible to get sacked from this government,,Default Inference
6680,727437,727486,727429,you can give contracts to your friends,Andy Burnham gets the increasing impression it is impossible to get sacked from this government,,Default Inference
6681,727441,727489,727429,it is impossible to get sacked from this government,Andy Burnham gets the increasing impression it is impossible to get sacked from this government,,Default Rephrase
6682,727449,727492,727445,Johnny Mercer is the only minister to have been sacked since the 2020 reshuffle,one minister has been sacked which is Johnny Mercer,,Default Rephrase
6683,727453,727495,727449,Johny Mercer is the only one to get sacked from the government,Johnny Mercer is the only minister to have been sacked since the 2020 reshuffle,,Default Rephrase
6684,727464,727501,727460,setting the right standards is particularly important at a time like this,the Prime Minister is not setting the right standards,,Default Rephrase
6685,727472,727505,727468,it was brought up in Question Time that many families have had not being able to see loved ones,the prime minister dismissed the feelings that were brought in Question Time,,Default Rephrase
6686,727476,727507,727468,dismissing the feelings brought up in Question Time showed that the prime minister is not thinking this through properly.,the prime minister dismissed the feelings that were brought in Question Time,,Default Rephrase
6687,727530,727545,727517,AudienceMember 20210708QT03 is not sure whether it is more concerning that Boris Johnson has no conception of moral standards or that he doesn't have the power to sack people,the fact that we have to wait for someone to resign is yet another example that Boris Johnson has no conception of moral standards in public office,,Default Rephrase
6688,727530,727546,727521,AudienceMember 20210708QT03 is not sure whether it is more concerning that Boris Johnson has no conception of moral standards or that he doesn't have the power to sack people,or Boris Johnson doesn't actually have the power to sack the people who aren't performing or who are ridden by scandals,,Default Rephrase
6689,727539,727560,727556,David Davis hit the nail on the head there that Boris is running the government as an old boys' club,running the government is not an old boys' club,,Default Inference
6690,727556,727575,727571,running the government is not an old boys' club,the situation is called leading the nation,,Default Inference
6691,727513,727641,727517,AudienceMember 20210708QT03 is in total agreement with people who find it absurd that we have to wait for a Tory minister to do the honourable thing and resign,the fact that we have to wait for someone to resign is yet another example that Boris Johnson has no conception of moral standards in public office,,Default Inference
6692,727538,727542,727529,"this isn't about the whistle-blower this is about Matt Hancock, this is about relationships, and about Boris Johnson being incapable of holding his party to account",this isn't about the whistle-blower,,Default Rephrase
6693,727578,727593,727588,AudienceMember 20210708QT06 thinks in terms of David Davis's comments around there's nothing you would have done differently,there's clear gas-lighting going on by Boris here,,Default Inference
6694,727608,727613,727599,it can't be both,the matter is closed one minute and he took decisive action the next,,Default Conflict
6695,727672,727758,727680,Matt Hancock clearly made a big mistake,"the next day after the scandal was leaked, Matt Hancock lost his job",,Default Inference
6696,727672,727790,727787,Matt Hancock clearly made a big mistake,Matt Hancock quite possibly lost his family,,Default Inference
6697,727708,727794,727700,"we have all made mistakes, all done things we regret in the past",we should be careful about throwing stones at people,,Default Inference
6698,727721,727808,727804,the whistle-blower waited so long to put the scandal into a paper when he could have done something almost immediately because of xxx,it took the whistle-blower something like 7 weeks to put the story about the scandal into a tabloid newspaper because of xxx,,Default Rephrase
6699,727813,727814,727721,"we have no idea, A, who blew the whistle and, B, when the whistle-blower obtained that footage",the whistle-blower waited so long to put the scandal into a paper when he could have done something almost immediately because of xxx,,Default Rephrase
6700,727752,727817,727813,there could have been a delay between the event happening and the whistle-blower obtaining the footage,"we have no idea, A, who blew the whistle and, B, when the whistle-blower obtained that footage",,Default Rephrase
6701,727700,727820,727691,we should be careful about throwing stones at people,losing ones job and family is a horrible thing to happen to anybody,,Default Inference
6702,727679,727682,727671,the way the education system was dealt with has to be looked at,what the government must make sure of is that the way the education system was dealt with has to be really addressed properly,,Default Rephrase
6703,727695,727699,727687,"maybe not in 2022, the pandemic could come back in 2023",make a plan that the pandemic is going to come back at some point,,Default Inference
6704,727704,727715,727712,some of the children who did home schooling had 60 minutes a day of Zoom classes,if we are saying that -- my view is the education was not handled very well at all,,Default Inference
6705,727712,727716,727679,if we are saying that -- my view is the education was not handled very well at all,the way the education system was dealt with has to be looked at,,Default Inference
6706,727730,727733,727722,now that we know a virus of some sort does come up every so often,you could say nobody knew it was coming and so the government were on the back foot,,Default Conflict
6707,727730,727740,727738,now that we know a virus of some sort does come up every so often,"we have to make a firm plan of these children in state schools, from these lower socio-economic backgrounds who have parents that don't speak the language, who have parents that work full time, the mental health of children, the impact on -- some of them are three, four months behind where they should be",,Default Inference
6708,727730,727741,727687,now that we know a virus of some sort does come up every so often,make a plan that the pandemic is going to come back at some point,,Default Inference
6709,727738,727742,727687,"we have to make a firm plan of these children in state schools, from these lower socio-economic backgrounds who have parents that don't speak the language, who have parents that work full time, the mental health of children, the impact on -- some of them are three, four months behind where they should be",make a plan that the pandemic is going to come back at some point,,Default Rephrase
6710,727760,727764,727748,"some people think we will, some don't think we will go back to a lockdown",who knows if we will go back into a lockdown,,Default Rephrase
6711,727937,727940,727932,Boris Johnson was a journalist,David Davis said something really important,,Default Rephrase
6712,727949,727956,727954,Boris Johnson is a politician leading the country,Boris Johnson has to lead by example,,Default Inference
6713,727954,727959,727944,Boris Johnson has to lead by example,the problem is Boris Johnson thinks he can still act like a journalist,,Default Conflict
6714,727978,727981,727974,people do look to politicians for leadership,politicians aren't anybody special,,Default Conflict
6715,727986,727993,727990,right now it is not an ordinary time,we really need leadership,,Default Inference
6716,728002,728010,727998,"no, politicians cannot act like a journalist or a businessman",Boris Johnson or any other politicians feel they can act like a journalist or act like a businessman or something like that,,Default Conflict
6717,728006,728012,728002,we need political leadership,"no, politicians cannot act like a journalist or a businessman",,Default Inference
6718,728006,728015,727990,we need political leadership,we really need leadership,,Default Rephrase
6719,728025,728032,728020,Covid-19 has really affected Benjamin Zephaniah and his family,it is very difficult for Benjamin Zephaniah to speak about these things without being emotional,,Default Inference
6720,728029,728034,728025,"Benjamin Zephaniah's sister buried people, that was her job, then their family got the virus",Covid-19 has really affected Benjamin Zephaniah and his family,,Default Rephrase
6721,728044,728052,728048,we have the rulers of our country and their friends not being good examples,xxx is what hope we have got for the rest of the people,,Default Inference
6722,728002,728054,727944,"no, politicians cannot act like a journalist or a businessman",the problem is Boris Johnson thinks he can still act like a journalist,,Default Rephrase
6723,727978,728057,727954,people do look to politicians for leadership,Boris Johnson has to lead by example,,Default Rephrase
6724,728077,728080,728072,Sajid Javid seems more concerned with the economy,in the last week Sajid Javid has sounded more like the Chancellor of the Exchequer than Health Secretary,,Default Rephrase
6725,728094,728097,728090,we do need to move more to advice,Andy Burnham is not necessarily saying restrictions is the right way to go,,Default Rephrase
6726,728101,728104,728094,we need to let people manage their way through this pandemic,we do need to move more to advice,,Default Rephrase
6727,728108,728111,728101,we need to trust people to manage their way through the pandemic,we need to let people manage their way through this pandemic,,Default Rephrase
6728,728133,728136,728128,you have to keep distancing or masks,Andy Burnham would or would not like to keep all the distancing measures,,Default Rephrase
6729,728140,728143,728133,you can't get rid of the distancing and the requirement to wear masks,you have to keep distancing or masks,,Default Rephrase
6730,728147,728150,728140,you have to keep either distancing or masks,you can't get rid of the distancing and the requirement to wear masks,,Default Rephrase
6731,728154,728157,728147,you have to think about people who will feel worried about being out there with people without masks,you have to keep either distancing or masks,,Default Inference
6732,728161,728169,728166,"if masks go, some people will feel very vulnerable if they were to use the tram",it is better to keep the masks requirement,,Default Inference
6733,728161,728171,728154,"if masks go, some people will feel very vulnerable if they were to use the tram",you have to think about people who will feel worried about being out there with people without masks,,Default Rephrase
6734,728166,728174,728147,it is better to keep the masks requirement,you have to keep either distancing or masks,,Default Rephrase
6735,728192,728194,728187,we need to maintain some restrictions,Madeline Grant would you like to see xxx happen,,Default Rephrase
6736,728199,728201,728192,we cannot afford to go back,we need to maintain some restrictions,,Default Inference
6737,728211,728213,728206,"wearing masks, for instance, is a small imposition that should be further maintained",Madeline Grant is thinking that xxx are the restrictions that should be maintained,,Default Rephrase
6738,728218,728220,728211,we should remain wearing masks,"wearing masks, for instance, is a small imposition that should be further maintained",,Default Rephrase
6739,728236,728242,728192,one in 20 students being off school at the moment is the reason why we really need to maintain some of the restrictions,we need to maintain some restrictions,,Default Inference
6740,728240,728243,728192,schools and the children have suffered so much and continue to suffer,we need to maintain some restrictions,,Default Inference
6741,728254,728258,728250,there's huge disparity between children who are from kind of less privileged socio-economic backgrounds that have missed a year plus of education,we speak about this disparity,,Default Rephrase
6742,728275,728278,728270,we don't know what's coming,we have to be on the front foot,,Default Inference
6743,728282,728288,728270,we know to expect the unexpected,we have to be on the front foot,,Default Inference
6744,728286,728289,728270,we do know at some point something is going to come up again,we have to be on the front foot,,Default Inference
6745,728296,728298,728262,"at some point eventually we will go back to a more normal norm where, living with the flu, there are no more school closures",we are going to be living with this new normal,,Default Rephrase
6746,728593,728726,728584,we encounter the animals,we cut down the forests,,Default Inference
6747,728603,728731,728593,viruses will keep jumping from animals to people,we encounter the animals,,Default Inference
6748,728615,728734,728603,covid-19 is one thing but there's a lot more to come,viruses will keep jumping from animals to people,,Default Rephrase
6749,728635,728738,728561,covid-19 is the consequences of our actions,"evidence shows the more we cut down rain forests, the more we come into contact with animals that don't want to come into contact with us",,Default Inference
6750,728561,728739,728570,"evidence shows the more we cut down rain forests, the more we come into contact with animals that don't want to come into contact with us",the animals know better,,Default Inference
6751,728669,728744,728648,human beings are now giving Covid-19 to their cats and dogs,Benjamin Zephaniah heard today that it's from a study in the University of Utrecht that human beings are now giving Covid-19 to their pet,,Default Rephrase
6752,728709,728748,728688,covid-19 mutationg again and then coming back to us is really scary,imagine if Covid-19 mutates again and then comes back to us,,Default Rephrase
6753,728441,728485,728458,if we are to keep doing getting the liquids and saliva and the blood of animals on us,we have to face the viruses,,Default Inference
6754,728482,728487,728458,Benjamin Zephaniah would rather the world go vegan,we have to face the viruses,,Default Conflict
6755,728621,728630,728607,breaking the link between the cases and the hospitalisation and the hospitals is a dramatically suppressed link,breaking the link between the cases and the hospitalisation and the hospitals is not a broken link,,Default Conflict
6756,728662,728672,728645,"the vaccines, the therapies are working",the broken link is working,,Default Inference
6757,728686,728827,728763,the aim is to get this to a point where -- it's never going to be non-fatal but less than flu,we don't lock down because of flu,,Default Inference
6758,728707,728827,728763,"flu kills between 5 and 25,000 people a year",we don't lock down because of flu,,Default Inference
6759,728801,728830,728818,assuming we can get to the point where this is less fatal than flu,David Davis wants to see us go back as close to the freedoms we had before as we possibly can,,Default Inference
6760,728575,728832,728553,the decrease is not entirely an unknown,what happens with the decrease is an unknown,,Default Conflict
6761,728585,728836,728575,we can see the trajectory now,the decrease is not entirely an unknown,,Default Inference
6762,728779,728838,728686,getting this to a point where it is less fatal than flu is the first thing,the aim is to get this to a point where -- it's never going to be non-fatal but less than flu,,Default Rephrase
6763,728654,728666,728625,"actually, we fired Matt Hancock",the case is closed,,Default Conflict
6764,728677,728704,728694,Matt Hancock took a role,Matt Hancock accepted the job to be a public figure,,Default Inference
6765,728750,728761,728694,being a public figure comes with many benefits,Matt Hancock accepted the job to be a public figure,,Default Rephrase
6766,728750,728777,728773,being a public figure comes with many benefits,Matt Hancock has so happily used those benefits that comes with being a public figure,,Default Inference
6767,728841,728845,728806,"if Matt Hancock had been working for an organisation, and the government is an organisation, he would have been marched off immediately before he had a chance to pack his bags",to have been given the opportunity to resign was a luxury,,Default Inference
6768,728878,728883,728853,Matt Hancock didn't think about the fact that he has a family and there are six children involved,"Matt Hancock has a family, there are six children involved",,Default Rephrase
6769,728878,728899,728878,Matt Hancock didn't think about the fact that he has a family and there are six children involved,Matt Hancock didn't think about the fact that he has a family and there are six children involved,,Default Rephrase
6770,728878,728915,728907,Matt Hancock didn't think about the fact that he has a family and there are six children involved,as a leader Matt Hancock should have thought about the fact that he has a family and there are six children involved first and then put that first before he behaved how he had behaved,,Default Inference
6771,728943,728965,728960,here is this guy having a good old jolly,Matt Hancock's actions are not acceptable,,Default Inference
6772,728973,728980,728924,"Chika Russell just buried her father-in-law, they were limited to numbers","with all of the rules put in place which we are all having to abide by, as Benjamin mentioned, family members who can't come together, weddings being postponed",,Default Rephrase
6773,728973,728965,728960,"Chika Russell just buried her father-in-law, they were limited to numbers",Matt Hancock's actions are not acceptable,,Default Inference
6774,729038,729042,729023,you have parents complaining they can't go to school sports days and see Wimbledon packed out,there's a growing sense of inconsistency in the pandemic in terms of how rules are being applied,,Default Inference
6775,729074,729080,729023,the danger is governments are behaving inconsistently now,there's a growing sense of inconsistency in the pandemic in terms of how rules are being applied,,Default Rephrase
6776,729054,729084,729023,"in our case you have the Scottish government, not all the UK government, out of nowhere hitting Manchester and Salford at the same time as thousands and thousands of people were leaving Scotland to go to London for the football",there's a growing sense of inconsistency in the pandemic in terms of how rules are being applied,,Default Inference
6777,729105,729141,729137,governments will carry on being inconsistent,people are going to say they're not putting up with the rules,,Default Inference
6778,729159,729171,729137,people are already saying they're not putting up with the rules,people are going to say they're not putting up with the rules,,Default Conflict
6779,729205,729215,729159,a lot of our audience are obeying the rules,people are already saying they're not putting up with the rules,,Default Conflict
6780,729224,729250,729244,you walked up a street in London after the football match between England and Scotland,there were lots of pubs full of people breaking all the rules Andy Burnham is talking about,,Default Inference
6781,729272,729296,729159,people are already breaking the rules,people are already saying they're not putting up with the rules,,Default Rephrase
6782,729368,729400,729342,part of why people break the rules is because the leaders are not showing the way,part of why people break the rules is because of the complexity and inconsistency of the rules,,Default Rephrase
6783,729188,729417,729159,some people might not be putting up with the rules,people are already saying they're not putting up with the rules,,Default Rephrase
6784,729244,729419,729159,there were lots of pubs full of people breaking all the rules Andy Burnham is talking about,people are already saying they're not putting up with the rules,,Default Inference
6785,729944,729947,729933,we have to get back to UK running as normal,David Davis wants to see us get back as close as we can to usual,,Default Rephrase
6786,729950,729953,729944,getting back to UK running as normal is what the public wants,we have to get back to UK running as normal,,Default Inference
6787,729950,729961,729957,getting back to UK running as normal is what the public wants,getting back to UK running as normal is what we ought to deliver,,Default Inference
6788,729970,729973,729965,AudienceMember 20210708QT08 doesn't personally have the confidence to actually walk out in the streets without a mask on,xxx is why AudienceMember 20210708QT08 is shaking their head,,Default Rephrase
6789,729992,730000,729997,there was a proximity of so many people in Cornwall,AudienceMember 20210708QT08 doesn't have the confidence that somebody is not going to sneeze on them or coughing on them,,Default Inference
6790,730009,730011,729987,Fiona Bruce is not sure the reason for a lockdown in Cornwall is quite as clear-cut as G7,a lot of Cornwall is in lockdown because of the G7,,Default Conflict
6791,729997,730014,729970,AudienceMember 20210708QT08 doesn't have the confidence that somebody is not going to sneeze on them or coughing on them,AudienceMember 20210708QT08 doesn't personally have the confidence to actually walk out in the streets without a mask on,,Default Rephrase
6792,730028,730030,730023,having 400.000 children at home because they were in contact with infected people is not sustainable,"there are about 400,000 kids at home who are contacts of people who tested positive",,Default Inference
6793,730023,730033,730019,"there are about 400,000 kids at home who are contacts of people who tested positive",we should be having daily testing of the contacts,,Default Inference
6794,730042,730045,730037,that some people have difficulties self-isolating is a point we made all the way through the pandemic,"we have not had policies that have realised why, so such as supporting people with no access to sick pay to self-isolate if they are ill",,Default Rephrase
6795,730037,730047,730028,"we have not had policies that have realised why, so such as supporting people with no access to sick pay to self-isolate if they are ill",having 400.000 children at home because they were in contact with infected people is not sustainable,,Default Inference
6796,730051,730054,730042,the government has never dealt with issues surrounding self-isolation,that some people have difficulties self-isolating is a point we made all the way through the pandemic,,Default Rephrase
6797,730058,730061,730051,you have to deal with things like issues with self-isolation,the government has never dealt with issues surrounding self-isolation,,Default Rephrase
6798,730065,730068,730058,"put booster supplies into the areas where cases have been highest, have an approach that realises that health is poorest in some parts",you have to deal with things like issues with self-isolation,,Default Rephrase
6799,730077,730089,730087,"three weeks ago we were vaccinating people in their mid-30s, two weeks ago early 30s, last week we were vaccinating people in their 20s",the vaccination programme is accelerating at a phenomenal rate,,Default Inference
6800,730082,730089,730087,at the same time in Durham there was a pop-up vaccination centre in the town centre for anybody over the age of 18,the vaccination programme is accelerating at a phenomenal rate,,Default Inference
6801,730087,730097,730095,the vaccination programme is accelerating at a phenomenal rate,"we will have everybody that needs to be vaccinated, vaccinated quite soon, very soon",,Default Inference
6802,730239,730352,730171,without that context it adds to the sense of pessimism and fear,the reporting needs to change,,Default Inference
6803,730196,730354,730239,people don't know the true context,without that context it adds to the sense of pessimism and fear,,Default Inference
6804,730204,730357,730196,people don't know where those infections are taking place,people don't know the true context,,Default Inference
6805,730213,730357,730196,people don't know if the infections are taking place in people at minimal risk of infection or complications,people don't know the true context,,Default Inference
6806,730186,730361,730178,you hear about the number of deaths per day or the number of infections,right now people are being read out figures that sound scary in and of themselves,,Default Inference
6807,730221,730366,730186,that is a difficult proposition,you hear about the number of deaths per day or the number of infections,,Default Inference
6808,730239,730369,730196,without that context it adds to the sense of pessimism and fear,people don't know the true context,,Default Rephrase
6809,730239,730372,730247,without that context it adds to the sense of pessimism and fear,"until we get past the pessimism and fear, we are not going to be at the old normal again",,Default Inference
6810,730258,730375,730247,the trouble with what you're saying is you're kind of assuming that there's going to be no variant that challenges the vaccine,"until we get past the pessimism and fear, we are not going to be at the old normal again",,Default Conflict
6811,730268,730378,730258,Benjamin was saying before there could be a variant that challenges the vaccine,the trouble with what you're saying is you're kind of assuming that there's going to be no variant that challenges the vaccine,,Default Rephrase
6812,730290,730382,730299,then all of a sudden a variant appears that breaks through the vaccine,xxx is what do you do if a variant breaks through the vaccine and xxx is how you get the public to buy back into the vaccine,,Default Inference
6813,730334,730388,730317,now you will see more people taking the flu vaccine,one thing that will have changed after this is the public will be more cautious,,Default Inference
6814,730338,730392,730342,the government's plan is going to help reduce the risk of the variant -- a new variant by passing it and so on,in the future we are going to see every September huge vaccination programmes,,Default Inference
6815,730346,730395,730342,yearly vaccination programmes will enable us to go back to normal,in the future we are going to see every September huge vaccination programmes,,Default Rephrase
6816,730350,730398,730346,going back to normal through vaccination programmes is what the plan must be,yearly vaccination programmes will enable us to go back to normal,,Default Rephrase
6817,730185,730195,730177,"AudienceMember 20210708QT11 will have the flu vaccine in one arm, the COVID in the other arm, and get on with this",AudienceMember 20210708QT11 is anticipating the vaccination in the coming September,,Default Rephrase
6818,730208,730212,730200,"if you feel comfortable wearing the mask, wear it",let people make the decision of wearing a mask or not,,Default Rephrase
6819,730248,730251,730240,we can't go back to how the pandemic situation was before,"the key thing is, if we want our lives back, if we want to have in-person studying and we want to have in-person socialising, we need to understand we can't go backwards",,Default Rephrase
6820,730248,730270,730267,we can't go back to how the pandemic situation was before,"if AudienceMember 20210708QT12 has to wear a mask to protect people that AudienceMember 20210708QT12 wants to interact with, because the mask doesn't protect AudienceMember 20210708QT12, it stops AudienceMember 20210708QT12 from spitting all over someone else, AudienceMember 20210708QT12 should do that",,Default Inference
6821,730278,730281,730267,"the same way as AudienceMember 20210708QT12 should drive the car and not smash into people, AudienceMember 20210708QT12 should wear a mask to not give them a disease","if AudienceMember 20210708QT12 has to wear a mask to protect people that AudienceMember 20210708QT12 wants to interact with, because the mask doesn't protect AudienceMember 20210708QT12, it stops AudienceMember 20210708QT12 from spitting all over someone else, AudienceMember 20210708QT12 should do that",,Default Rephrase
6822,730278,730292,730289,"the same way as AudienceMember 20210708QT12 should drive the car and not smash into people, AudienceMember 20210708QT12 should wear a mask to not give them a disease","if to wear a mask is what it takes to get the country back to normal, to get in-person teaching back to normal, to get small businesses, to get the hospitality industry, to get performing arts, to get everybody back to normal, we wear a mask",,Default Inference
6823,730289,730305,730225,"if to wear a mask is what it takes to get the country back to normal, to get in-person teaching back to normal, to get small businesses, to get the hospitality industry, to get performing arts, to get everybody back to normal, we wear a mask",making our own decisions is what we need to do,,Default Conflict
6824,730259,730315,730248,we can't go back to the past situation is what got us here in the discussion,we can't go back to how the pandemic situation was before,,Default Rephrase
6825,729873,730781,729841,Matt Hancock's position was clearly untenable given his pivotal role,"if Madeline Grant was in charge, she would have sacked Matt Hancock on the spot, too",,Default Inference
6826,729914,730807,729873,Matt Hancock's position was often going further and taking a harsher line than many of his colleagues,Matt Hancock's position was clearly untenable given his pivotal role,,Default Inference
6827,730818,730807,729873,Matt Hancock's position created these Draconian and inhumane rules we have had to live by,Matt Hancock's position was clearly untenable given his pivotal role,,Default Inference
6828,730847,730829,729873,Matt Hancock's position was clearly untenable,Matt Hancock's position was clearly untenable given his pivotal role,,Default Rephrase
6829,730884,730889,730857,the delay brings in real questions,the delay does reflect very poorly on the PM,,Default Rephrase
6830,730924,730948,730884,the delay brings in real questions not just about public trust,the delay brings in real questions,,Default Rephrase
6831,730941,730951,730924,the public trust has been seriously damaged by the delay and many other things,the delay brings in real questions not just about public trust,,Default Rephrase
6832,730960,730966,730884,the delay brings in real questions about the level of compliance,the delay brings in real questions,,Default Rephrase
6833,731008,731015,730989,situation of Matt Hancock was outrageous enough,it is not just the situation of Matt Hancock,,Default Rephrase
6834,731039,731064,731057,when you get to this level of disparity and complete double standards and hypocrisy,there are enough things where this government has forfeited the rights for adherence to the rules that still exist,,Default Inference
6835,730989,731068,731057,it is not just the situation of Matt Hancock,there are enough things where this government has forfeited the rights for adherence to the rules that still exist,,Default Rephrase
6836,731088,731091,731057,there are extraordinary inconsistencies about what's allowed,there are enough things where this government has forfeited the rights for adherence to the rules that still exist,,Default Rephrase
6837,731280,731296,731254,the same testing are in place,it is difficult for kids in schools,,Default Inference
6838,731478,731496,731444,we need to readjust our priorities in all sorts of ways,we need a return to some kind of normality,,Default Rephrase
6839,731318,731505,731088,people are isolating in large numbers,there are extraordinary inconsistencies about what's allowed,,Default Inference
6840,731227,731505,731088,it is difficult to visit sick relatives,there are extraordinary inconsistencies about what's allowed,,Default Inference
6841,731200,731505,731088,it is difficult to organise weddings,there are extraordinary inconsistencies about what's allowed,,Default Inference
6842,731176,731505,731088,when you see you see politicians breaking the rules,there are extraordinary inconsistencies about what's allowed,,Default Inference
6843,731154,731505,731088,when you see exemptions for business travellers,there are extraordinary inconsistencies about what's allowed,,Default Inference
6844,731134,731505,731088,when you see exemptions for the UEFA VIPs,there are extraordinary inconsistencies about what's allowed,,Default Inference
6845,731116,731505,731088,when you see crowds of the size we saw at Wembley,there are extraordinary inconsistencies about what's allowed,,Default Inference
6846,731387,731507,731088,"expecting this endless one rule for them, another for us",there are extraordinary inconsistencies about what's allowed,,Default Rephrase
6847,731387,731510,731359,"expecting this endless one rule for them, another for us",it is chaotic,,Default Inference
6848,731417,731515,731387,after a while expecting another rules for them and another for us starts to grate on people,"expecting this endless one rule for them, another for us",,Default Rephrase
6849,730981,731004,730954,all of the G7 members were clearly staged,the worst example of not setting the standard for social distancing is the G7,,Default Inference
6850,730998,731004,730954,someone took a snap and the G7 members were all together,the worst example of not setting the standard for social distancing is the G7,,Default Inference
6851,731026,731036,730929,David Davis doesn't disagree that Boris Johnson's non-action was a missed opportunity to set the standard for social distancing,David Davis has been fighting against some of the excessive limitations about social distancing,,Default Conflict
6852,731056,731095,731026,Matt Hancock had to go,David Davis doesn't disagree that Boris Johnson's non-action was a missed opportunity to set the standard for social distancing,,Default Rephrase
6853,731087,731097,731056,"all of us virtually on this Panel, by the sounds of it, and up and down the country, have had funerals, weddings, other episodes to deal with, which we have suffered",Matt Hancock had to go,,Default Inference
6854,729906,731100,729700,David Davis agrees with the fact you have to provide leadership by your action as well as by what you say,Boris Johnson's non-action was or was not a missed opportunity to set the standard for social distancing,,Default Rephrase
6855,731117,730872,729767,the guidance for outdoor events says everyone must be seated if they are consuming food and drink,there has been a bit of comeback with Boris Johnson seen celebrating England's football goals,,Default Inference
6856,731758,731771,731718,we should all be wanting a real living wage for everybody wherever they come from,we all should be wanting a real living wage for everybody,,Default Rephrase
6857,731805,731821,731758,we should all be wanting a real living wage for everybody whatever community they are in,we should all be wanting a real living wage for everybody wherever they come from,,Default Rephrase
6858,731958,731972,731911,every politician is trying to attach -- nail their colours to that particular mast of the current England team,the place we should take population is the current England team,,Default Rephrase
6859,732150,732172,732122,we need to take inspiration from the next generation who don't see people in the same way,Andy Burnham takes inspiration from the next generation in this country who he doesn't think see people in the same way,,Default Rephrase
6860,732243,732256,732194,bringing working class people back to get policies that help everybody would be a real version of levelling up,bring working class people back to get policies that help everybody,,Default Rephrase
6861,732443,732464,732398,"we have to mount a better response to a decade where some of the wealthiest people around have started saying to working class people, blame your neighbour, who has a different coloured skin from you, for everything","the left need to counter a decade where some of the wealthiest people around have started saying to working class people, blame your neighbour, who has a different coloured skin from you, for everything",,Default Rephrase
6862,731997,732470,731911,the current England team is a point because they have been attacked for taking the knee,the place we should take population is the current England team,,Default Inference
6863,732329,732473,732284,people standing together and fighting together is what the left has to start doing,"the motto from the England team is if people stand together and fight together, they win together",,Default Rephrase
6864,731775,731791,731732,Chika Russell thinks a Labour defeat would be the final nail in the coffin for the party,a Labour defeat would or would not be the final nail in the coffin for the party,,Default Rephrase
6865,731825,731845,731775,more and more of the former Labour supporters are voting conservative,Chika Russell thinks a Labour defeat would be the final nail in the coffin for the party,,Default Inference
6866,731875,731940,731922,"with the party people have now, they've had the benefit of the furlough, the benefit of getting support during this pandemic and they accessed it quite easily",to go back to a government where they haven't felt listened to is going to be difficult,,Default Inference
6867,731970,732039,732012,the Labour do lose this election this time,it really will be very difficult for Labour to go back,,Default Inference
