from,mid,last,L,I,predict,real
683381,683382,683389,"Fiona Bruce : one per cent wouldn't be enough, by your definition?",one per cent would not be enough by Andrew Davies's definition,,Rhetorical Questioning
683398,683406,683389,"Andrew Davies : I don't believe it would be enough, no",one per cent would not be enough by Andrew Davies's definition,,Agreeing
683412,683413,683417,Andrew Davies : that's why I've been making a stronger recommendation to the pay review body,Andrew Davies has been making a stronger recommendation to the pay review body,,Asserting
683428,683430,683437,Andrew Davies :  I wouldn't be going arbitrarily around with numbers that I know weren't sustainable over the period,Andrew Davies wouldn't be going arbitrarily around with numbers that he knows weren't sustainable over the period,,Asserting
683445,683446,683448,"Andrew Davies : when I was on a programme with Adam Price recently, he was talking about a 12 per cent pay rise","when Andrew Davies was on a programme with Adam Price recently, Adam Price was talking about a 12 per cent pay rise",,Asserting
683489,683490,683491,Andrew Davies : he's now gone to four per cent,Adam Price now gone to four per cent pay rise instead of 12,,Asserting
683494,683495,683496,"Adam Price : No, I said we should at least match the Scottish Government",Adam Price said we should at least match the Scottish Government,,Asserting
683501,683502,683503,"Adam Price : I know what I said, it was only a few moments ago,",Adam Price knows he said we should at least match the Scottish Government as he said it a few moments ago,,Asserting
683508,683509,683510,Adam Price : we should at least match what the Scottish Government have done,we should at least match what the Scottish Government have done,,Asserting
683515,683516,683517,Adam Price : the RCN is quite strongly making a compelling case for the 12.5 per cent increase,the RCN is quite strongly making a compelling case for the 12.5 per cent increase,,Asserting
683521,683522,683523,Adam Price : we've had that level of cut in real terms over the last ten years,we've had that level of cut in real terms over the last ten years,,Asserting
683527,683528,683529,Adam Price : but at least do what the Scottish Government has done,the RCN should at least do what the Scottish Government has done,,Asserting
683534,683535,683536,Adam Price : let's aim to do more,we should aim to do more,,Asserting
683539,683540,683542,Adam Price : absolutely we rely on these people,absolutely we rely on these people,,Asserting
683546,683547,683549,Adam Price : we've clapped them,we've clapped them,,Asserting
683556,683557,683558,Adam Price : what we've seen from the Conservative government is they are refusing to actually turn that into real support,what we've seen from the Conservative government is they are refusing to actually turn that into real support,,Asserting
683326,683541,683329,"Andrew Davies : the First Minister will jump on any bandwagon that goes along, Adam Price",the First Minister will jump on any bandwagon that goes along,,Asserting
683334,683548,683337,Andrew Davies : I would listen to the evidence and make the pay recommendation stick here in Wales,Andrew Davies would listen to the evidence and make the pay recommendation stick here in Wales,,Asserting
683343,683555,683345,"Andrew Davies : we could value our workers wherever they are, in the health sector or the care sector and not jump on the bandwagon","Wales could value our workers wherever they are, in the health sector or the care sector and not jump on the bandwagon",,Asserting
683354,683566,683357,"Adam Price : What, supporting the unions is jumping on a bandwagon",supporting the unions is not jumping on a bandwagon,,Rhetorical Questioning
683365,683570,683368,"Adam Price : You've got to listen to the workers that are actually delivering the care day in, day out, they are calling for this pay rise","You've got to listen to the workers that are actually delivering the care day in, day out, they are calling for this pay rise",,Asserting
683378,683577,683383,Adam Price : you're saying you won't support it,Andrew Davies is saying he won't support a payrise,,Asserting
683393,683581,683397,Claire Fox : there's an awful lot of workers in Wales who don't work in the NHS,there's an awful lot of workers in Wales who don't work in the NHS,,Asserting
683407,683585,683411,Claire Fox : an awful lot of them wouldn't want a pay rise,an awful lot of the non-NHS welsh workforce wouldn't want a pay rise,,Asserting
683419,683587,683425,Claire Fox : An awful lot of them would want to have some pay and some guaranteed employment,an awful lot of the non-NHS welsh workforce would want to have some pay and some guaranteed employment,,Asserting
683655,683656,683657,Andrew Davies : the rhetoric has been dialled up on the continent of Europe,the rhetoric has been dialled up on the continent of Europe,,Asserting
683659,683660,683661,Andrew Davies : Twice now they've come back with various measures,twice now the EU have come back with various measures,,Asserting
683664,683665,683666,Andrew Davies :  I want to see the vaccine programme be a success in Europe as well,Andrew Davies wants to see the vaccine programme be a success in Europe as well,,Asserting
683671,683672,683673,Andrew Davies : we're not the people sending military police into factories to seize vaccines like the Italians did the other day,we're not the people sending military police into factories to seize vaccines like the Italians did the other day,,Asserting
683676,683677,683678,Andrew Davies : That is dialling up the dial way too loud,sending military police into factories to seize vaccines is dialling up the dial way too loud,,Asserting
683683,683684,683685,Andrew Davies : we've got to work together,we've got to work together with the EU,,Asserting
683687,683688,683689,Andrew Davies : I haven't heard UK Government ministers threatening any action in retaliation to what the European Union have,Andrew Davies hasn't heard UK Government ministers threatening any action in retaliation to what the European Union have done,,Asserting
683692,683693,683694,Vaughan Gething :  there has been some unhelpful commentary from some parts of the UK Government,there has been some unhelpful commentary from some parts of the UK Government in retaliation to what the European Union have done,,Asserting
683699,683700,683701,Vaughan Gething : Foreign Secretary hasn't been wonderfully helpful with all of his comments,Foreign Secretary hasn't been wonderfully helpful with all of his comments,,Asserting
683706,683707,683708,"Fiona Bruce : what in particular, Vaughan, are you referring to",Vaughan Gething is referring to xxx,,Pure Questioning
683711,683712,683713,Vaughan Gething : People respecting international obligations and international agreements that are made is not something the UK comes with entirely clean hands,people respecting international obligations and international agreements that are made is not something the UK comes with entirely clean hands,,Asserting
683721,683722,683723,"Claire Fox : we've somehow isolated health workers, nurses in particular as a special kind of worker.","we've somehow isolated health workers, nurses in particular as a special kind of worker",,Asserting
683725,683726,683727,"Claire Fox : You know, one of the dangers with this,","one of the dangers with this is we've somehow isolated health workers, nurses in particular as a special kind of worker",,Asserting
683729,683730,683731,"Claire Fox : I do get anxious about it,","Claire Fox does get anxious about that we've somehow isolated health workers, nurses in particular as a special kind of worker",,Asserting
683734,683735,683736,Claire Fox : of course we all understand that they've been on the front line in this pandemic,of course we all understand that nurses been on the front line in this pandemic,,Asserting
683740,683741,683742,"Claire Fox : but it's just that to say that they require a special award as distinct from, for example, care workers or as distinct from people who work in the supermarkets, as distinct from all the people who've been cycling around delivering meals to people who rather enjoyed working from home, whereas those people have carried on,","but it's just that to say that nurses require a special award as distinct from, for example, care workers or as distinct from people who work in the supermarkets, as distinct from all the people who've been cycling around delivering meals to people who rather enjoyed working from home, whereas those people have carried on",,Asserting
683744,683745,683746,"Claire Fox : what about the people who clean the streets,",what about the people who clean the streets,,Rhetorical Questioning
683748,683749,683750,Claire Fox : what about the people who pick up the bins?,what about the people who pick up the bins,,Rhetorical Questioning
683752,683753,683754,Claire Fox : There's a whole range of people who deserve a pay rise,there's a whole range of people who deserve a pay rise,,Asserting
683764,683765,683766,Claire Fox : it's also the case that for millions of people,it's also the case that for millions of people that they deserve a pay rise,,Asserting
683771,683772,683773,"Claire Fox : they haven't even been able to avail themselves of furlough,",people who deserve a pay rise haven't even been able to avail themselves of furlough,,Asserting
683775,683776,683777,"Claire Fox : you know, people who run their own businesses, are freelancers and so on, have been absolutely destitute and forgotten in the whole of this.","people who run their own businesses, are freelancers and so on, have been absolutely destitute and forgotten in the whole of pay rising",,Asserting
683785,683786,683787,"Fiona Bruce : you've just said that Dominic Raab made unhelpful comments, what are you referring to in particular","Vaughan Gething just said that Dominic Raab made unhelpful comments, xxx is what Vaughan Gething referring to in particular",,Pure Questioning
683789,683790,683791,Vaughan Gething : when he's been talking about comments about the situation with Europe,when Dominic Raab has been talking about comments about the situation with Europe,,Asserting
683794,683795,683796,"Vaughan Gething : it's the tone of what's said, and it's the tone that matters in all this","it's the tone of what's said about the situation with Europe, and it's the tone that matters in all this",,Asserting
683803,683804,683805,"Vaughan Gething : we've got a real success story on our hands with effective vaccines being produced, we're going really quickly in Wales and the rest of the UK","we've got a real success story on our hands with effective vaccines being produced, we're going really quickly in Wales and the rest of the UK",,Asserting
683807,683808,683809,Vaughan Gething : that's what we all need to focus on,the success story is what we all need to focus on,,Asserting
683811,683812,683813,Vaughan Gething : everyone needs to take a step back and calm down,everyone needs to take a step back and calm down,,Asserting
683820,683821,683822,Adam Price : The Foreign Secretary referred to the EU as acting like a dictatorship,the Foreign Secretary referred to the EU as acting like a dictatorship,,Asserting
683825,683826,683827,Adam Price : if that isn't inflammatory language then what is,if that isn't inflammatory language then what is,,Rhetorical Questioning
683830,683831,683832,Adam Price : It doesn't help anyone talking like that,"it doesn't help anyone talking like that, with inflammatory language",,Asserting
683835,683836,683837,Claire Fox : They should stop acting like a dictatorship then,the EU should stop acting like a dictatorship then,,Asserting
683842,683843,469003,Adam Price : here we go again,Here we go again,,Asserting
683846,683847,683848,"Vaughan Gething : that's the problem, if that's the discourse we have, that helps no one","that's the problem, if that's the discourse we have, that helps no one",,Asserting
683850,683851,683852,"Vaughan Gething : that will make people frightened, that is scaremongering, that's really unhelpful","that kind of discourse will make people frightened, that is scaremongering, that's really unhelpful",,Asserting
683860,683861,683862,Adam Price : We've actually seen a real-terms cut in pay of NHS staff going back over ten years,we've actually seen a real-terms cut in pay of NHS staff going back over ten years,,Asserting
683864,683865,683866,Adam Price : That's why we're facing a problem in terms of recruitment and retention,cut in pay is why we're facing a problem in terms of recruitment and retention,,Asserting
683869,683870,683871,Adam Price : people are burned out and part of that…pay isn't the only thing we need to do,"people are burned out and part of that, pay isn't the only thing we need to do",,Asserting
683874,683875,683876,"Adam Price : we need to have more staff in the NHS, we need another 1,000 doctors, 4,000 extra nurses","we need to have more staff in the NHS, we need another 1,000 doctors, 4,000 extra nurses",,Asserting
683879,683880,683881,Adam Price : pay is part of saying as a society we value you,pay is part of saying as a society we value you,,Asserting
683888,683889,683890,"Adam Price : well done the Scottish Government for showing up the Conservatives what they are, offering a real-terms pay cut to our NHS staff","well done the Scottish Government for showing up the Conservatives what they are, offering a real-terms pay cut to our NHS staff",,Asserting
683893,683894,683895,Adam Price : we in Wales should at least follow Scotland's lead and that's what I will do as a Plaid Cymru First Minister,we in Wales should at least follow Scotland's lead and that's what I will do as a Plaid Cymru First Minister,,Asserting
683900,683901,683902,"Fiona Bruce : Andrew, I assume you don't agree with that and you think one per cent is plenty",Andrew Davies doesn't agree with that and thinks one per cent pay rise is plenty,,Assertive Questioning
683905,683906,683907,Andrew Davies : Adam's just given a pay cut from his first offer which was 12 per cent,Adam Price has just given a pay cut from his first offer which was 12 per cent,,Asserting
683914,683913,683911,Adam Price : they should have 12 per cent,on a recent programme Adam Price stated that NHS staff should have 12 per cent pay rise,,Asserting
683923,683924,683925,"Claire Fox : They actually…different countries in the EU, France and Germany","they actually…different countries in the EU, France and Germany",,Asserting
683927,683928,683929,"Claire Fox : other countries, Italy as well, have been storing vaccines and not giving them to their own people","other EU countries, Italy as well, have been storing vaccines and not giving them to their own people",,Asserting
683932,683933,683934,"Claire Fox : They had a certain amount, millions of AstraZeneca vaccines which they actually deployed","other EU countries had a certain amount, millions of AstraZeneca vaccines which they actually deployed",,Asserting
683940,683939,683937,"other EU countries : oh no, we don't think AstraZeneca is safe","oh no, other countries don't think AstraZeneca is safe",,Asserting
683944,683945,683946,"Claire Fox : they used the precautionary principle in that way, frightened people","they used the precautionary principle in that way, frightened people",,Asserting
683949,683950,683951,Claire Fox : there's now a high level of vaccine scepticism in many countries in the EU,there's now a high level of vaccine scepticism in many countries in the EU,,Asserting
683954,683955,683956,Claire Fox :  we have to remember what's happened,we have to remember what's happened,,Asserting
683959,683960,683961,"Claire Fox : the trade war, such as it's been threatened","the trade war, such as it's been threatened",,Asserting
683963,683964,683965,Claire Fox : everything that the UK does is not perfect by any stretch,everything that the UK does is not perfect by any stretch,,Asserting
683969,683970,683971,"Claire Fox : in this instance, the EU call the shots on that","in this instance, the EU call the shots on the protectionism",,Asserting
683973,683974,683975,Claire Fox : They deployed a form of protectionism which I think is very frightening,the EU deployed a form of protectionism which is very frightening,,Asserting
683979,683980,683981,Claire Fox : it really has ramped up tensions,the protectionism of the EU really has ramped up tensions,,Asserting
683999,684053,684001,"Claire Fox : We can't engage everybody who's 18 plus, so what we'll do is we'll get lots of young people involved","We can't engage everybody who's 18 plus, so what we'll do is we'll get lots of young people involved",,Asserting
684003,684054,684005,Claire Fox : I work with teenagers so I know how smart they can be,Claire Fox work with teenagers so I know how smart they can be,,Asserting
684008,684056,684010,"Claire Fox : there has always been a little bit of the idea that those young peoplefor the purposes of everything else, they're treated as not being adults","there has always been a little bit of the idea that those young people for the purposes of everything else, they're treated as not being adults",,Asserting
684015,684060,684017,"Claire Fox : They're still at school, they're dependent and they're consequently not seen as autonomous in the usual way that we understand that politically","younger people are still at school, they're dependent and they're consequently not seen as autonomous in the usual way that we understand that politically",,Asserting
684022,684064,684024,Claire Fox : probably the Labour Party hope that they will benefit from having these young people vote for them,probably the Labour Party hope that they will benefit from having these young people vote for them,,Asserting
684027,684066,684029,"Claire Fox : they kind of look at opinion polls and say, oh, they're all very radical, they'll vote for us","the Labour Party kind of look at opinion polls and say, oh, young people are all very radical, they'll vote for us",,Asserting
684034,684070,684036,Claire Fox : I rather enjoyed it in the Scottish referendum when the SNP deployed a similar tactic,Claire Fox rather enjoyed it in the Scottish referendum when the SNP deployed a similar tactic,,Asserting
684041,684074,684043,Claire Fox : in the end many of those young people were independent and didn't actually vote for independence and thought for themselves,in the end at the Scottish independence referendum many of those young people were independent and didn't actually vote for independence and thought for themselves,,Asserting
684048,684078,684050,Claire Fox : if they're going to have the vote I hope that they won't act as a stage army for any particular political party,if young people are going to have the vote I hope that they won't act as a stage army for any particular political party,,Asserting
684080,684081,684082,"Alan Unknown : As somebody who has experienced the NHS in Wales who helped my son before COVID, I'd just like to say they deserve a lot more than what this country is giving them at the present","As somebody who has experienced the NHS in Wales who helped my son before COVID, Alan Unknown would just like to say they deserve a lot more than what this country is giving them at the present",,Asserting
684084,684085,684086,"Alan Unknown : Clapping them and just saying that they're great, they deserve a lot more for what they actually do","Clapping them and just saying that they're great, the NHS deserve a lot more for what they actually do",,Asserting
684091,684092,684093,Fiona Bruce : do you think they should be made a special case,Alan Unknown does or does not think the NHS should be made a special case,,Pure Questioning
684099,684100,684101,Alan Unknown : I'm a limited company director myself who's received no help from the government whatsoever,Alan Unknown is a limited company director myself who has received no help from the government whatsoever,,Asserting
684105,684104,684097,Claire Fox : the NHS should not be made a special case,the NHS should not be made a special case,,Asserting
684110,684111,684112,"Nigel Owens : I think we mustn't forget as well the other people who are on the front line, who've put their lives at risk, who've spent time away from family and loved ones to look after and make sure that we can get on as much as we possibly can with our lives during these difficult times","Nigel Owens thinks we must not forget as well the other people who are on the front line, who have put their lives at risk, who have spent time away from family and loved ones to look after and make sure that we can get on as much as we possibly can with our lives during these difficult times",,Asserting
684114,684115,684116,Alan Unknown : I would treat them as a special case,Alan Unknown would treat the NHS as a special case,,Asserting
684124,684125,684126,Alan Unknown : they helped my son when he needed it,the NHS helped Alan Unknown's son when he needed it,,Asserting
684132,684133,684134,"Lyn Unknown : in the forthcoming May elections, 16 and 17-year-olds can vote for the first time.","in the forthcoming May elections, 16 and 17-year-olds can vote for the first time",,Asserting
684136,684137,684138,Lyn Unknown : which political party will that benefit? ,16 and 17 year olds being allowed to vote will benefit XXX party,,Pure Questioning
684143,684144,684138,Fiona Bruce : Which political party will that benefit the most?,16 and 17 year olds being allowed to vote will benefit XXX party,,Asserting
684150,684151,684152,Claire Fox : I don't know who it will benefit,Claire Fox doesn't know which party will benefit from 16 and 17 year olds being allowed to vote,,Asserting
684157,684158,684159,Claire Fox : I've got very mixed views about the lowering of the age of voting to 16 and 17.,Claire Fox has got very mixed views about the lowering of the age of voting to 16 and 17,,Asserting
684162,684163,684164,Claire Fox : I've been concerned following Welsh politics for many years at the low turnout in elections and the lack of political engagement,Claire Fox has been concerned following Welsh politics for many years at the low turnout in elections and the lack of political engagement,,Asserting
684167,684168,684169,Claire Fox : which it is a bit dispiriting,the low turnout in Welsh elections is a bit dispiriting,,Asserting
684174,684175,684176,"Claire Fox :  apart from of course in the referendum about whether we should leave the EU, which there was a high turnout",the referendum about whether we should leave the EU had a high turnout,,Asserting
684181,684182,684183,Claire Fox : we know which way Wales voted,we know which way Wales voted in Brexit,,Asserting
684188,684189,684190,"Claire Fox : the 16 and 17-year-old vote always feels a little bit cynical, you know?",the 16 and 17-year-old vote always feels a little bit cynical,,Rhetorical Questioning
684193,684194,684195,Vaughan Gething :  I know Andrew is bravely talking about that he wouldn't have a one per cent pay cap here in Wales,Vaughan Gething knows Andrew Davies is bravely talking about that he wouldn't have a one per cent pay cap here in Wales,,Asserting
684197,684198,684199,Vaughan Gething : the reality is he supported austerity for ten years,the reality is Andrew Davies supported austerity for ten years,,Asserting
684202,684203,684204,Vaughan Gething : the Treasury are only going to fund one per cent,the Treasury are only going to fund one per cent pay cap in Wales,,Asserting
684206,684207,684208,Vaughan Gething : that's got real consequences not just for health and social care workers but actually for wider public finances and our ability to support businesses as well,the Treasury funding one per cent pay cap in Wales has got real consequences not just for health and social care workers but actually for wider public finances and our ability to support businesses as well,,Asserting
684212,684213,684214,Vaughan Gething : there's quite a lot to this but I'm really clear about where we are,there's quite a lot to the one percent pay cap in Wales but Vaughan Gething is really clear about where we are,,Asserting
684217,684218,684219,Vaughan Gething : we've got a good track record in recruiting and retaining staff in Wales,we've got a good track record in recruiting and retaining staff in Wales,,Asserting
684223,684224,684225,Vaughan Gething : we've put our money where our mouth is and we do have more staff,we've put our money where our mouth is and we do have more staff,,Asserting
684228,684229,684230,"Vaughan Gething : in the last four years our NHS headcount has risen by £10,000","in the last four years our NHS headcount has risen by £10,000",,Asserting
684232,684233,684234,Vaughan Gething : I'll need more of those staff to take care of you and me in the future as well,Vaughan Gething will need more of those staff to take care of you and me in the future as well,,Asserting
684244,684245,684237,Andrew Davies : the NHS have been responsible for saving many lives and been a foundation for getting this country back on their feet,the NHS have been responsible for saving many lives and been a foundation for getting this country back on their feet,,Asserting
684251,684252,684239,"Andrew Davies : we definitely should be matching four per cent, even more","we definitely should be matching four per cent, even more",,Asserting
684254,684255,684242,"Andrew Davies : this government's found money for everything else, why not find the money for these people on the front line","this government's found money for everything else, why not find the money for these people on the front line",,Assertive Questioning
684261,684262,684263,Adam Price : The independence movement in Wales is driven by positivity,the independence movement in Wales is driven by positivity,,Asserting
684265,684268,684266,Adam Price : Adam Price : It's actually about looking forward to the future,the independence movement in Wales is actually about looking forward to the future,,Asserting
684270,684271,684272,Adam Price : it's actually looking out to the world as well,the independence movement in Wales is actually looking out to the world as well,,Asserting
684281,684282,684283,Adam Price : that's a message that really appeals to young people thinking about the Wales that we're going to build,the independence movement in Wales being driven by positivity is a message that really appeals to young people thinking about the Wales that we're going to build,,Asserting
684286,684287,684288,"Adam Price : Coming out of this pandemic, we're all thinking, aren't we, we don't want to go back to the way that Wales was","coming out of this pandemic, we're all thinking that we don't want to go back to the way that Wales was",,Rhetorical Questioning
684291,684292,684293,Adam Price : What kind of world and what kind of Wales do we want to build,the kind of world and kind of Wales that we want to build,,Rhetorical Questioning
684297,684298,684299,Adam Price : that's really at the heart of the independence message,the kind of new Wales that we want to build is at the heart of the independence message,,Asserting
684302,684303,684304,Adam Price :  it's appealing to young people,the independence message is appealing to young people,,Asserting
684309,684310,684311,Adam Price : Plaid Cymru are the only major party that is offering an independence referendum,Plaid Cymru are the only major party that is offering an independence referendum,,Asserting
684314,684315,684316,Adam Price : that's going to be a major factor,Plaid Cymru being the only major party that is offering an independence referendum is going to be a major factor in the election,,Asserting
684318,684319,684320,Adam Price : not just for young people in this election,Plaid Cymru being the only major party that is offering an independence referendum is going to be a major factor not just for young people in this election,,Asserting
684325,684326,684327,Adam Price : 39 per cent of the Welsh population support independence,39 per cent of the Welsh population support independence,,Asserting
684338,684339,684340,Claire Fox : there does end up being this thing about saying I want to say and associate myself with the nurses,there does end up being this thing about saying I want to say and associate myself with the nurses,,Asserting
684343,684344,684345,Claire Fox : that will show how virtuous I am,associating yourself with the nurses will show how virtuous you are,,Asserting
684350,684351,684352,Claire Fox :  you isolate them as a special group,you isolate nurses as a special group,,Asserting
684355,684356,684357,Claire Fox : it's quite divisive,isolating nurses as a special group is quite divisive,,Asserting
684363,684364,684365,"Claire Fox : I would be looking of course at how we can get the economy started again as quickly as possible, with less of the caution as exhibited by the politicians here","Claire Fox would be looking of course at how we can get the economy started again as quickly as possible, with less of the caution as exhibited by the politicians here",,Asserting
684368,684369,684370,Claire Fox :  then make sure that everybody and anybody that we can is rewarded successfully,Claire Fox would then make sure that everybody and anybody that we can is rewarded successfully,,Asserting
684374,684375,684376,Claire Fox : so many people are facing unemployment,so many people are facing unemployment,,Asserting
684383,684384,684385,"Claire Fox : to just say it's only the nurses that we should consider, I mean, remember the furloughed staff have basically had a 20 per cent pay cut and lots of them are going to face losing their job","to just say it's only the nurses that we should consider, I mean, remember the furloughed staff have basically had a 20 per cent pay cut and lots of them are going to face losing their job",,Asserting
684391,684392,684393,"Claire Fox : according to the politicians in Wales, if you work in tourism, you can forget it, you're not going to have a job","according to the politicians in Wales, if you work in tourism, you can forget it, you're not going to have a job",,Asserting
684398,684399,684400,Claire Fox :  What about them,if you work in tourism xxx,,Pure Questioning
684380,684407,684381,Claire Fox : so many people are facing wage cuts,so many people are facing wage cuts,,Asserting
684468,684469,684470,"Fiona Bruce : And presumably, Andrew, you don't think that the Conservatives are going to benefit from 16 to 17-year-olds voting because you called it a stitch-up by the left wing political establishment","presumably, Andrew does or does not think that the Conservatives are going to benefit from 16 to 17-year-olds voting because Andrew called it a stitch-up by the left wing political establishment",,Pure Questioning
684472,684473,684474,"Andrew RT Davies : Well, ultimately we deal with the franchise",ultimately we deal with the franchise,,Asserting
684476,684477,684478,Fiona Bruce : But this is not a franchise you wanted,this is not a franchise you wanted,,Asserting
684483,684484,684487,"Andrew RT Davies : Well, I didn't believe in votes at 16 to 17",Andrew RT Davies didn't believe in votes at 16 to 17,,Asserting
684494,684495,684497,Andrew RT Davies : I voted to keep it at 18,Andrew RT Davies voted to keep it at 18,,Asserting
684504,684505,684507,Andrew RT Davies : I believe that was a sensible age to bring the franchise in and the voters to vote at that age,Andrew RT Davies believes that was a sensible age to bring the franchise in and the voters to vote at age 18,,Asserting
684515,684516,684518,Fiona Bruce : So is it going to be a bit tricky for you to appeal to them now,it is or is not going to be a bit tricky for Andrew RT Davies to appeal to the voters now,,Pure Questioning
684540,684541,684543,Andrew RT Davies : We have an exciting and forward-looking manifesto,we have an exciting and forward-looking manifesto,,Asserting
684550,684551,684553,Andrew RT Davies : I don't think people would want constitutional carnage on an independence referendum we'll have,Andrew RT Davies doesn't think people would want constitutional carnage on an independence referendum we'll have,,Asserting
684527,684559,684533,"Andrew RT Davies : No, I'd hope not",Andrew RT Davies hopes it is not going to be a bit tricky for him to appeal to the voters now,,Asserting
684562,684563,684565,Adam Price : Says the man who was an ardent Brexiteer,Andrew RT Davies was an ardent Brexiteer,,Asserting
684485,684486,684488,"Fiona Bruce : Vaughan, Scotland's rather outmanoeuvred you, hasn't it",Scotland has rather outmanoeuvred Vaughan Gething,,Assertive Questioning
684498,684499,684500,Fiona Bruce : it's been very hard for you to say…I know you might be worth four per cent in Scotland but you're not worth four per cent in Wales,"it's been very hard for Vaughan Gething to say, he might be worth four per cent in Scotland but he is not worth four per cent in Wales",,Assertive Questioning
684513,684514,684517,"Vaughan Gething : actually this isn't about manoeuvring, that's the problem","actually this isn't about manoeuvring, that's the problem",,Asserting
684525,684526,684528,"Vaughan Gething : If people's pay is just a manoeuvre, that's the wrong lens to look at it","if people's pay is just a manoeuvre, that's the wrong lens to look at it",,Asserting
684538,684539,684542,"Fiona Bruce : What, you think there's not an element of politics in it",Vaughan Gething does or does not think there's not an element of politics in the issue of people's pay,,Pure Questioning
684548,684549,684552,"Vaughan Gething : there's always politics and lots of choices, but that isn't the way we're approaching pay","there's always politics and lots of choices, but that isn't the way we're approaching pay",,Asserting
684560,684561,684564,Vaughan Gething : I actually do think that our frontline health and care workers are a special case,Vaughan Gething actually thinks that our frontline health and care workers are a special case,,Asserting
684576,684577,684578,Vaughan Gething : I've already decided to give for basic rate taxpayers a £500 special payment across health and social care,Vaughan Gething has already decided to give for basic rate taxpayers a £500 special payment across health and social care,,Asserting
684581,684582,684583,Vaughan Gething : the reason they're different is they have put themselves in harm's way for us,the reason the health and care workers are different is that they have put themselves in harm's way for us,,Asserting
684588,684589,684590,Fiona Bruce : what about a four per cent pay rise,Vaughan Gething thinks xxx about a four per cent pay rise,,Pure Questioning
684593,684594,684595,"Vaughan Gething : They have put themselves in that position, that's why I've made that choice","the health and care workers have put themselves in that position, that's why Vaughan Gething has made the choice to give them a £500 special payment",,Asserting
684597,684598,684599,Vaughan Gething : I've also made clear that we're going to wait for the pay review body recommendations,Vaughan Gething has also made clear that they're going to wait for the pay review body recommendations,,Asserting
684602,684603,684604,Vaughan Gething : I made really clear that I'm not setting an arbitrary cap,Vaughan Gething made really clear that he was not setting an arbitrary cap,,Asserting
684612,684613,684614,Fiona Bruce : Are you more likely to vote Labour,Tim Unknown is or isn't more likely to vote Labour,,Pure Questioning
684616,684617,684618,Fiona Bruce : Do you think this is a good idea,does or doesn't Tim Unknown think that voting for Labour is a good idea,,Pure Questioning
684621,684622,684623,Tim Unknown : increasing suffrage is always a good idea,increasing suffrage is always a good idea,,Asserting
684626,684627,684628,Tim Unknown : As a democracy we want to get as many people heard as possible,as a democracy we want to get as many people heard as possible,,Asserting
684631,684632,684633,"Tim Unknown : by reducing the age, the populous might be more likely to vote on populist ideas","by reducing the age, the populous might be more likely to vote on populist ideas",,Asserting
684635,684636,684637,Tim Unknown : that would actually benefit parties such as Plaid in the Senedd elections more than Labour,Tim Unknown wonders if more likely voting on populist ideas would actually benefit parties such as Plaid in the Senedd elections more than Labour,,Asserting
684639,684640,684641,Tim Unknown : Labour is in record lows in polls,Labour is in record lows in polls,,Asserting
684648,684649,684650,Kate Unknown : the thing with 16 and 17-year-olds is I think we just don't give them enough credit,the thing with 16 and 17-year-olds is we just don't give them enough credit,,Asserting
684653,684654,684655,"Kate Unknown : I'm 27, I've only really spent the last few years learning about all of this","Kate Unknown is 27, she has only really spent the last few years learning about all of this",,Asserting
684658,684659,684660,"Kate Unknown : When I was 16, I didn't take an interest","when Kate Unknown was 16, she didn't take an interest",,Asserting
684662,684663,684664,"Kate Unknown : I know, like, the 16, 17, 18-year-olds that I work with who know more than I ever knew at that age","Kate Unknown knows the 16, 17, 18-year-olds that she works with who know more than she ever knew at that age",,Asserting
684666,684667,684668,"Kate Unknown : it's their future more than it's my future, more than it's the next future","it's 16, 17, 18-year-olds future more than it's Kate Unknown's future, more than it's the next future",,Asserting
684670,684671,684672,Kate Unknown : they have every right to have a say in that as an 18-year-old would,"16, 17, 18-year-olds have every right to have a say in that as an 18-year-old would",,Asserting
684690,684691,684692,"Nigel Owens :  the National Health is a wonderful, wonderful service","the National Health is a wonderful, wonderful service",,Asserting
684694,684695,684696,"Nigel Owens : the people who work there are wonderful, wonderful people who have put their own lives at risk in order to save other lives","the people who work in the NHS are wonderful, wonderful people who have put their own lives at risk in order to save other lives",,Asserting
684699,684700,684701,Nigel Owens :  if that means they are special cases and deserve a four per cent,workers putting their own lifes at risk to save other lives means they are special cases and deserve a four per cent pay rise,,Asserting
684704,684705,684706,"Nigel Owens :  they should deserve it, you know",NHS workers should deserve a higher pay rise than one percent,,Assertive Questioning
684713,684714,684715,Nigel Owens :  Every single one of us pretty much was out on a Thursday night clapping and applauding them,every single one of us pretty much was out on a Thursday night clapping and applauding the NHS workers,,Asserting
684717,684718,684719,Nigel Owens : We must never ever forget the great work that they've done,we must never ever forget the great work that NHS workers have done,,Asserting
684729,684730,684731,Nigel Owens : They saved my life 20 years ago,NHS workers saved Nigel Owens life 20 years ago,,Asserting
684734,684735,684736,Nigel Owens :  I shall forever be in debt,Nigel Owens shall forever be in debt,,Asserting
684741,684742,684743,Nigel Owens : they go far and beyond what they really need to be doing,NHS workers go far and beyond what they really need to be doing,,Asserting
684753,684754,684756,Nigel Owens :  we must not forget the other people as well,we must not forget the other people as well,,Asserting
